Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,1097000000,1064100000,1213400000,1352000000,1223000000,1254000000,1358000000,1412000000,1506000000,1625000000,1659000000,1638000000
Afghanistan,AFG,,,,47000000,90000000,169000000,152000000,177000000,191000000,92000000,88000000,51000000
Angola,AGO,103000000,91000000,236000000,293000000,554000000,726000000,653000000,711000000,1241000000,1597000000,1171000000,628000000
Albania,ALB,880000000,1057000000,1479000000,1848000000,2014000000,1780000000,1833000000,1623000000,1670000000,1849000000,1614000000,1821000000
Andorra,AND,,,,,,,,,,,,
Arab World,ARB,40367797948,45865305600,56422040593,63558742431,64033250220,74155828581,64751803393,72107839140,71178812322,80100218929,83113155457,81362698793
United Arab Emirates,ARE,3218000000,4972000000,6072000000,7162000000,7352000000,8577000000,9204000000,10924000000,12389000000,15221000000,17481000000,19496000000
Argentina,ARG,3209000000,3926000000,5030000000,5273000000,4455000000,5605000000,6058000000,5665000000,5199000000,5645000000,5441000000,5186000000
Armenia,ARM,243000000,406000000,522000000,564000000,570000000,694000000,762000000,853000000,905000000,994000000,956000000,988000000
American Samoa,ASM,,,,,,,,,,,,
Antigua and Barbuda,ATG,309000000,327000000,338000000,334000000,305000000,298000000,312000000,319000000,299000000,708000000,714000000,693000000
Australia,AUS,19719000000,20408000000,25024000000,27189000000,26909000000,31064000000,34315000000,34137000000,32889000000,33619000000,30872000000,34475000000
Austria,AUT,18471000000,16512000000,18559000000,21630000000,19154000000,18758000000,19775000000,18937000000,20220000000,20907000000,18288000000,19241000000
Azerbaijan,AZE,100000000,201000000,317000000,382000000,545000000,792000000,1500000000,2634000000,2618000000,2713000000,2535000000,2855000000
Burundi,BDI,1900000,1600000,2300000,1600000,1700000,2100000,3700000,1500000,2300000,4100000,2200000,1900000
Belgium,BEL,10881000000,11625000000,12371000000,12018000000,11423000000,11395000000,12742000000,13711000000,14536000000,15244000000,13084000000,12772000000
Benin,BEN,107700000,121600000,206300000,236400000,131400000,149400000,201000000,174000000,193000000,153000000,148000000,
Burkina Faso,BFA,46000000,55000000,61000000,82000000,99000000,105000000,116000000,128000000,200000000,183000000,109000000,
